Date ,Close ,Delta,Delta Base,Tag
14-Jun-23,26976.05," 2,417 "," 2,917 ",Nifty Con Durable
14-Jun-23,43988,1352.25," 1,852 ",Nifty Bank
14-Jun-23,4064.3, 80 , 580 ,Nifty PSU Banks
15-Jun-23,518.2, 90 , 590 ,Nifty Realty
15-Jun-23,19228.65, 236 , 736 ,Nifty Financial Services
15-Jun-23,14707.85, 25 , 525 ,Nifty Auto
15-Jun-23,13160.6, 706 ," 1,206 ",Nifty Pharma
15-Jun-23,22206.3, 649 ," 1,149 ",Nifty Private Bank
15-Jun-23,7601.6, 249 , 749 ,Nifty Oil & Gas
15-Jun-23,6203.05, 500 ," 1,000 ",Nifty Metal
15-Jun-23,1786.9,103, 603 ,Nifty Media
15-Jun-23,28699," 1,685 "," 2,185 ",Nifty IT
15-Jun-23,8597.35, 713 ," 1,213 ",Nifty Healthcare
15-Jun-23,52046.45," 5,103 "," 5,603 ",Nifty FMCG
15-Jun-23,24633.35," 1,426 "," 1,926 ",Nifty Energy
15-Jun-23,27105.9," 2,547 "," 3,047 ",Nifty Con Durable
15-Jun-23,43443.6,807.85," 1,308 ",Nifty Bank
15-Jun-23,3983.55, (1), 499 ,Nifty PSU Banks
16-Jun-23,517.1, 89 , 589 ,Nifty Realty
16-Jun-23,19456.9, 464 , 964 ,Nifty Financial Services
16-Jun-23,14768.45, 61 , 561 ,Nifty Auto
16-Jun-23,13241.95, 788 ," 1,288 ",Nifty Pharma
16-Jun-23,22492.05, 935 ," 1,435 ",Nifty Private Bank
16-Jun-23,7612.45, 260 , 760 ,Nifty Oil & Gas
16-Jun-23,6231.5, 528 ," 1,028 ",Nifty Metal
16-Jun-23,1806.2,122, 622 ,Nifty Media
16-Jun-23,28588.8," 1,575 "," 2,075 ",Nifty IT
16-Jun-23,8651.55, 767 ," 1,267 ",Nifty Healthcare
16-Jun-23,52440.2," 5,497 "," 5,997 ",Nifty FMCG
16-Jun-23,24733.15," 1,526 "," 2,026 ",Nifty Energy
16-Jun-23,27254.15," 2,695 "," 3,195 ",Nifty Con Durable
16-Jun-23,43938.15,1302.4," 1,802 ",Nifty Bank
16-Jun-23,4041.55, 57 , 557 ,Nifty PSU Banks
19-Jun-23,513.35, 85 , 585 ,Nifty Realty
19-Jun-23,19425.9, 433 , 933 ,Nifty Financial Services
19-Jun-23,14676.7, (92), 408 ,Nifty Auto
19-Jun-23,13264.65, 810 ," 1,310 ",Nifty Pharma
19-Jun-23,22291.1, 734 ," 1,234 ",Nifty Private Bank
19-Jun-23,7571.7, 219 , 719 ,Nifty Oil & Gas
19-Jun-23,6203.5, 500 ," 1,000 ",Nifty Metal
19-Jun-23,1790.1,106, 606 ,Nifty Media
19-Jun-23,28708.3," 1,695 "," 2,195 ",Nifty IT
19-Jun-23,8670.1, 786 ," 1,286 ",Nifty Healthcare
19-Jun-23,52123.85," 5,181 "," 5,681 ",Nifty FMCG
19-Jun-23,24539.1," 1,332 "," 1,832 ",Nifty Energy
19-Jun-23,27184.05," 2,625 "," 3,125 ",Nifty Con Durable
19-Jun-23,43633.75,998," 1,498 ",Nifty Bank
19-Jun-23,4080.35, 96 , 596 ,Nifty PSU Banks
20-Jun-23,515.85, 88 , 588 ,Nifty Realty
20-Jun-23,19502.9, 510 ," 1,010 ",Nifty Financial Services
20-Jun-23,14785.65, 109 , 609 ,Nifty Auto
20-Jun-23,13238.85, 785 ," 1,285 ",Nifty Pharma
20-Jun-23,22375, 818 ," 1,318 ",Nifty Private Bank
20-Jun-23,7576.05, 224 , 724 ,Nifty Oil & Gas
20-Jun-23,6246.65, 543 ," 1,043 ",Nifty Metal
20-Jun-23,1768.3,84, 584 ,Nifty Media
20-Jun-23,28930.8," 1,917 "," 2,417 ",Nifty IT
20-Jun-23,8647.75, 764 ," 1,264 ",Nifty Healthcare
20-Jun-23,52164.7," 5,222 "," 5,722 ",Nifty FMCG
20-Jun-23,24659," 1,452 "," 1,952 ",Nifty Energy
20-Jun-23,27276.05," 2,717 "," 3,217 ",Nifty Con Durable
