Symbol  ,Date  ,Close Price  ,Total Traded Quantity  ,Gain,Loss,Average Gain,Average Loss,RS,RSI
HDFCBANK,29-Aug-23,"1,590.30"," 1,77,69,466 ",12.55,0, 195.86 , 183.92 , 1.06 , 52 
HDFCBANK,30-Aug-23,"1,578.70"," 1,40,42,102 ",0,11.6, 181.87 , 171.61 , 1.06 , 51 
HDFCBANK,31-Aug-23,"1,571.45"," 5,00,37,886 ",0,7.25, 168.88 , 159.87 , 1.06 , 51 
HDFCBANK,01-Sep-23,"1,574.70"," 2,16,13,388 ",3.25,0, 157.05 , 148.45 , 1.06 , 51 
HDFCBANK,04-Sep-23,"1,584.55"," 1,25,36,819 ",9.85,0, 146.53 , 137.85 , 1.06 , 52 
HDFCBANK,05-Sep-23,"1,574.90"," 1,93,56,041 ",0,9.65, 136.07 , 128.69 , 1.06 , 51 
HDFCBANK,06-Sep-23,"1,595.50"," 2,81,60,455 ",20.6,0, 127.82 , 119.50 , 1.07 , 52 
HDFCBANK,07-Sep-23,"1,610.85"," 1,71,04,171 ",15.35,0, 119.79 , 110.96 , 1.08 , 52 
HDFCBANK,08-Sep-23,"1,623.40"," 1,72,51,105 ",12.55,0, 112.13 , 103.04 , 1.09 , 52 
HDFCBANK,11-Sep-23,"1,631.80"," 1,57,86,511 ",8.4,0, 104.72 , 95.68 , 1.09 , 52 
HDFCBANK,12-Sep-23,"1,636.90"," 1,95,16,670 ",5.1,0, 97.60 , 88.84 , 1.10 , 52 
HDFCBANK,13-Sep-23,"1,643.90"," 2,32,10,047 ",7,0, 91.13 , 82.50 , 1.10 , 52 
HDFCBANK,14-Sep-23,"1,642.90"," 1,17,69,424 ",0,1, 84.62 , 76.68 , 1.10 , 52 
HDFCBANK,15-Sep-23,"1,661.75"," 8,67,05,601 ",18.85,0, 79.92 , 71.20 , 1.12 , 53 
HDFCBANK,18-Sep-23,"1,629.05"," 1,85,28,144 ",0,32.7, 74.21 , 68.45 , 1.08 , 52 
HDFCBANK,20-Sep-23,"1,563.70"," 5,77,37,324 ",0,65.35, 68.91 , 68.23 , 1.01 , 50 
HDFCBANK,21-Sep-23,"1,553.35"," 3,64,20,721 ",0,10.35, 63.99 , 64.09 , 1.00 , 50 
HDFCBANK,22-Sep-23,"1,529.65"," 3,08,52,125 ",0,23.7, 59.42 , 61.21 , 0.97 , 49 
HDFCBANK,25-Sep-23,"1,531.00"," 2,01,04,377 ",1.35,0, 55.27 , 56.84 , 0.97 , 49 
HDFCBANK,26-Sep-23,"1,537.65"," 1,37,87,654 ",6.65,0, 51.80 , 52.78 , 0.98 , 50 
HDFCBANK,27-Sep-23,"1,526.85"," 1,96,69,269 ",0,10.8, 48.10 , 49.78 , 0.97 , 49 
HDFCBANK,28-Sep-23,"1,523.70"," 2,76,77,094 ",0,3.15, 44.66 , 46.45 , 0.96 , 49 
HDFCBANK,29-Sep-23,"1,526.30"," 1,60,26,891 ",2.6,0, 41.66 , 43.13 , 0.97 , 49 
HDFCBANK,03-Oct-23,"1,508.05"," 1,94,85,847 ",0,18.25, 38.68 , 41.35 , 0.94 , 48 
HDFCBANK,04-Oct-23,"1,529.55"," 2,73,24,715 ",21.5,0, 37.46 , 38.40 , 0.98 , 49 
HDFCBANK,05-Oct-23,"1,535.75"," 2,42,56,337 ",6.2,0, 35.22 , 35.66 , 0.99 , 50 
HDFCBANK,06-Oct-23,"1,534.05"," 88,79,678 ",0,1.7, 32.71 , 33.23 , 0.98 , 50 
HDFCBANK,09-Oct-23,"1,516.25"," 82,27,486 ",0,17.8, 30.37 , 32.13 , 0.95 , 49 
HDFCBANK,10-Oct-23,"1,524.85"," 1,66,33,146 ",8.6,0, 28.82 , 29.83 , 0.97 , 49 
HDFCBANK,11-Oct-23,"1,539.60"," 1,56,66,680 ",14.75,0, 27.81 , 27.70 , 1.00 , 50 
HDFCBANK,12-Oct-23,"1,549.85"," 1,10,12,668 ",10.25,0, 26.56 , 25.72 , 1.03 , 51 
HDFCBANK,13-Oct-23,"1,535.75"," 1,98,72,650 ",0,14.1, 24.66 , 24.89 , 0.99 , 50 
HDFCBANK,16-Oct-23,"1,529.60"," 89,28,042 ",0,6.15, 22.90 , 23.55 , 0.97 , 49 
HDFCBANK,17-Oct-23,"1,541.20"," 1,64,51,279 ",11.6,0, 22.09 , 21.87 , 1.01 , 50 
HDFCBANK,18-Oct-23,"1,519.75"," 1,56,08,100 ",0,21.45, 20.51 , 21.84 , 0.94 , 48 
HDFCBANK,19-Oct-23,"1,514.95"," 1,51,26,182 ",0,4.8, 19.05 , 20.62 , 0.92 , 48 
HDFCBANK,20-Oct-23,"1,522.80"," 1,05,47,005 ",7.85,0, 18.25 , 19.15 , 0.95 , 49 
HDFCBANK,23-Oct-23,"1,506.05"," 1,11,88,068 ",0,16.75, 16.95 , 18.98 , 0.89 , 47 
HDFCBANK,25-Oct-23,"1,496.50"," 1,41,55,998 ",0,9.55, 15.73 , 18.31 , 0.86 , 46 
HDFCBANK,26-Oct-23,"1,463.40"," 2,77,80,899 ",0,33.1, 14.61 , 19.36 , 0.75 , 43 
HDFCBANK,27-Oct-23,"1,469.15"," 1,59,70,266 ",5.75,0, 13.98 , 17.98 , 0.78 , 44 
HDFCBANK,30-Oct-23,"1,485.10"," 1,16,55,491 ",15.95,0, 14.12 , 16.70 , 0.85 , 46 
HDFCBANK,31-Oct-23,"1,476.50"," 1,63,17,412 ",0,8.6, 13.11 , 16.12 , 0.81 , 45 
HDFCBANK,01-Nov-23,"1,476.50"," 88,838 ",0,0, 12.17 , 14.97 , 0.81 , 45 
HDFCBANK,01-Nov-23,"1,474.50"," 1,69,38,733 ",0,2, 11.30 , 14.04 , 0.81 , 45 
HDFCBANK,02-Nov-23,"1,476.75"," 2,26,12,577 ",2.25,0, 10.66 , 13.04 , 0.82 , 45 
HDFCBANK,03-Nov-23,"1,483.75"," 90,47,670 ",7,0, 10.40 , 12.11 , 0.86 , 46 
HDFCBANK,06-Nov-23,"1,494.50"," 1,27,96,865 ",10.75,0, 10.42 , 11.24 , 0.93 , 48 
HDFCBANK,07-Nov-23,"1,487.25"," 2,09,76,424 ",0,7.25, 9.68 , 10.96 , 0.88 , 47 
HDFCBANK,08-Nov-23,"1,491.55"," 1,56,99,773 ",4.3,0, 9.29 , 10.17 , 0.91 , 48 
HDFCBANK,09-Nov-23,"1,485.65"," 1,10,58,370 ",0,5.9, 8.63 , 9.87 , 0.87 , 47 
HDFCBANK,10-Nov-23,"1,491.50"," 70,07,593 ",5.85,0, 8.43 , 9.16 , 0.92 , 48 
HDFCBANK,12-Nov-23,"1,500.00"," 19,75,463 ",8.5,0, 8.44 , 8.51 , 0.99 , 50 
HDFCBANK,13-Nov-23,"1,488.80"," 1,03,02,957 ",0,11.2, 7.83 , 8.70 , 0.90 , 47 
HDFCBANK,15-Nov-23,"1,504.40"," 2,06,22,730 ",15.6,0, 8.39 , 8.08 , 1.04 , 51 
HDFCBANK,16-Nov-23,"1,508.35"," 1,48,56,919 ",3.95,0, 8.07 , 7.50 , 1.08 , 52 
HDFCBANK,17-Nov-23,"1,505.10"," 1,18,50,937 ",0,3.25, 7.49 , 7.20 , 1.04 , 51 
HDFCBANK,20-Nov-23,"1,505.20"," 96,65,726 ",0.1,0, 6.97 , 6.68 , 1.04 , 51 
HDFCBANK,21-Nov-23,"1,517.95"," 1,24,79,986 ",12.75,0, 7.38 , 6.21 , 1.19 , 54 
HDFCBANK,22-Nov-23,"1,512.55"," 1,45,61,825 ",0,5.4, 6.85 , 6.15 , 1.11 , 53 
HDFCBANK,23-Nov-23,"1,521.30"," 65,23,110 ",8.75,0, 6.99 , 5.71 , 1.22 , 55 
HDFCBANK,24-Nov-23,"1,532.10"," 82,34,596 ",10.8,0, 7.26 , 5.30 , 1.37 , 58 
HDFCBANK,28-Nov-23,"1,528.65"," 1,42,44,669 ",0,3.45, 6.74 , 5.17 , 1.30 , 57 
HDFCBANK,29-Nov-23,"1,559.15"," 1,70,21,244 ",30.5,0, 8.44 , 4.80 , 1.76 , 64 
HDFCBANK,30-Nov-23,"1,558.80"," 3,47,45,720 ",0,0.35, 7.84 , 4.48 , 1.75 , 64 
HDFCBANK,01-Dec-23,"1,555.40"," 1,10,76,768 ",0,3.4, 7.28 , 4.41 , 1.65 , 62 
